Hour,Top 1,Top 1 Consumtion,Top 2,Top 2 Consumtion,Top 3,Top 3 Consumtion
0:00,MAC000034,11.092846098206762,MAC000032,4.526799994407536,MAC000024,3.8594592731665958
1:00,MAC000034,10.345268278373332,MAC000032,2.773891189462977,MAC000003,2.2874633671240474
2:00,MAC000034,9.694541287559089,MAC000032,2.78830403200417,MAC000035,0.9843817416077607
3:00,MAC000034,5.5742802826401014,MAC000032,1.7689645953044733,MAC000035,1.0590453275004708
4:00,MAC000034,3.8724310775982973,MAC000024,1.4880095912843059,MAC000035,1.0797868581314471
5:00,MAC000034,4.158827706388179,MAC000035,1.0574039977753857,MAC000021,0.8012155727166836
6:00,MAC000034,2.741216900573727,MAC000035,1.0742763331264913,MAC000004,1.0358912262947828
7:00,MAC000035,1.1219867826198484,MAC000010,1.0376501632730253,MAC000008,0.9309880858367773
8:00,MAC000026,1.475502749337558,MAC000024,1.342643730096011,MAC000008,1.2693590816968583
9:00,MAC000026,1.4901783617230844,MAC000021,1.4494032782177415,MAC000035,1.1690290853500438
10:00,MAC000021,1.426071330505416,MAC000022,1.1326470597546154,MAC000023,1.0174423541644735
11:00,MAC000007,1.5008646329241926,MAC000035,1.266642679530008,MAC000021,1.1545311503084534
12:00,MAC000026,1.6141211801750994,MAC000007,1.4536135717864014,MAC000035,1.2044918672176337
13:00,MAC000004,1.616922586085265,MAC000035,1.4455064255443828,MAC000021,1.3810601444306152
14:00,MAC000035,1.4113421196540188,MAC000021,1.2163074822256348,MAC000024,1.1761003418744778
15:00,MAC000024,2.331293889936263,MAC000035,1.5533992934942764,MAC000023,1.536740635231398
16:00,MAC000035,1.3597829623885924,MAC000024,1.2178454502152565,MAC000021,0.8774488839229992
17:00,MAC000035,1.679616347220324,MAC000010,1.6011644660318476,MAC000022,0.9589213529053137
18:00,MAC000010,3.1099024731089737,MAC000035,1.6647094017709823,MAC000020,1.4347988446903244
19:00,MAC000010,3.2103591816278185,MAC000035,1.6625485119018657,MAC000022,1.1688640366759584
20:00,MAC000035,1.9950892743242639,MAC000010,1.8420743982843462,MAC000022,1.325386734346516
21:00,MAC000010,2.026531882442608,MAC000035,1.9856571765061444,MAC000004,1.5992424666835203
22:00,MAC000035,1.3659108245728777,MAC000010,1.3185355710838098,MAC000002,1.1460420443281036
23:00,MAC000002,1.4653571923960973,MAC000035,1.353688776514637,MAC000010,1.2633588126057114
