Hour,Top 1,Top 1 Consumtion,Top 2,Top 2 Consumtion,Top 3,Top 3 Consumtion
0:00,1,0,1,0,1,0
1:00,1,0,1,0,1,0
2:00,1,0,1,0,1,0
3:00,1,0,1,0,1,0
4:00,1,0,1,0,1,0
5:00,1,0,1,0,1,0
6:00,1,0,1,0,1,0
7:00,1,0,1,0,1,0
8:00,1,0,1,0,1,0
9:00,1,0,1,0,1,0
10:00,1,0,1,0,1,0
11:00,1,0,1,0,1,0
12:00,1,0,1,0,1,0
13:00,1,0,1,0,1,0
14:00,1,0,1,0,1,0
15:00,1,0,1,0,1,0
16:00,1,0,1,0,1,0
17:00,1,0,1,0,1,0
18:00,1,0,1,0,1,0
19:00,1,0,1,0,1,0
20:00,1,0,1,0,1,0
21:00,1,0,1,0,1,0
22:00,1,0,1,0,1,0
23:00,1,0,1,0,1,0
